82.jpg;[0.0, 0.0, 1.0, 0.005021282006055117, 0.07086100483379498, 5.351079445107874]
83.jpg;[0.0, 0.0, 1.0, 0.005123450013343245, 0.07157827892135465, 5.376566784225058]
84.jpg;[0.0, 0.0, 1.0, 0.0132242520339787, 0.11499674792783794, 5.030225037063669]
85.jpg;[0.0, 0.0, 1.0, 0.006456370349042118, 0.0803515422941098, 5.134313174911344]
86.jpg;[0.0, 0.0, 1.0, 0.010929467127425596, 0.10454409178631567, 4.7518599580662215]
87.jpg;[0.0, 0.0, 1.0, 0.00868333037942648, 0.09318438914016917, 4.94226302630545]
88.jpg;[0.0, 0.0, 1.0, 0.005993508966639638, 0.0774177561457295, 5.239140885744016]
89.jpg;[0.0, 0.0, 1.0, 0.004632575408322737, 0.06806302526572512, 5.4402569558645535]
90.jpg;[0.0, 0.0, 1.0, 0.006530798418680206, 0.08081335544747666, 5.195863715983216]
92.jpg;[0.0, 0.0, 1.0, 0.008608789154095575, 0.09278356079659572, 4.9479454974905694]
93.jpg;[0.0, 0.0, 1.0, 0.005482328793732449, 0.07404274977155055, 5.29101010527517]
94.jpg;[0.0, 0.0, 1.0, 0.008036634448217228, 0.0896472779743882, 5.000971909246918]
95.jpg;[0.0, 0.0, 1.0, 0.0074775889806915075, 0.0864730534946668, 5.086926438021313]
82.jpg;[0.0, 0.0, 1.0, 0.005021282006055117, 0.07086100483379498, 5.351079445107874]
83.jpg;[0.0, 0.0, 1.0, 0.005123450013343245, 0.07157827892135465, 5.376566784225058]
84.jpg;[0.0, 0.0, 1.0, 0.0132242520339787, 0.11499674792783794, 5.030225037063669]
85.jpg;[0.0, 0.0, 1.0, 0.006456370349042118, 0.0803515422941098, 5.134313174911344]
86.jpg;[0.0, 0.0, 1.0, 0.010929467127425596, 0.10454409178631567, 4.7518599580662215]
87.jpg;[0.0, 0.0, 1.0, 0.00868333037942648, 0.09318438914016917, 4.94226302630545]
88.jpg;[0.0, 0.0, 1.0, 0.005993508966639638, 0.0774177561457295, 5.239140885744016]
89.jpg;[0.0, 0.0, 1.0, 0.004632575408322737, 0.06806302526572512, 5.4402569558645535]
90.jpg;[0.0, 0.0, 1.0, 0.006530798418680206, 0.08081335544747666, 5.195863715983216]
92.jpg;[0.0, 0.0, 1.0, 0.008608789154095575, 0.09278356079659572, 4.9479454974905694]
93.jpg;[0.0, 0.0, 1.0, 0.005482328793732449, 0.07404274977155055, 5.29101010527517]
94.jpg;[0.0, 0.0, 1.0, 0.008036634448217228, 0.0896472779743882, 5.000971909246918]
95.jpg;[0.0, 0.0, 1.0, 0.0074775889806915075, 0.0864730534946668, 5.086926438021313]
82.jpg;[0.0, 0.0, 1.0, 0.005021282006055117, 0.07086100483379498, 5.351079445107874]
83.jpg;[0.0, 0.0, 1.0, 0.005123450013343245, 0.07157827892135465, 5.376566784225058]
84.jpg;[0.0, 0.0, 1.0, 0.0132242520339787, 0.11499674792783794, 5.030225037063669]
85.jpg;[0.0, 0.0, 1.0, 0.006456370349042118, 0.0803515422941098, 5.134313174911344]
86.jpg;[0.0, 0.0, 1.0, 0.010929467127425596, 0.10454409178631567, 4.7518599580662215]
87.jpg;[0.0, 0.0, 1.0, 0.00868333037942648, 0.09318438914016917, 4.94226302630545]
88.jpg;[0.0, 0.0, 1.0, 0.005993508966639638, 0.0774177561457295, 5.239140885744016]
89.jpg;[0.0, 0.0, 1.0, 0.004632575408322737, 0.06806302526572512, 5.4402569558645535]
90.jpg;[0.0, 0.0, 1.0, 0.006530798418680206, 0.08081335544747666, 5.195863715983216]
92.jpg;[0.0, 0.0, 1.0, 0.008608789154095575, 0.09278356079659572, 4.9479454974905694]
93.jpg;[0.0, 0.0, 1.0, 0.005482328793732449, 0.07404274977155055, 5.29101010527517]
94.jpg;[0.0, 0.0, 1.0, 0.008036634448217228, 0.0896472779743882, 5.000971909246918]
95.jpg;[0.0, 0.0, 1.0, 0.0074775889806915075, 0.0864730534946668, 5.086926438021313]
